Manufacturer,Machine Model,Machinery Category,Engine Capacity (L),Engine Cylinders,Transmission Type,Fuel Category,Fuel Consumption (Load Condition) (L/100 hr),Fuel Consumption (No-Load Condition) (L/100 hr),Average Fuel Consumption (L/100 hr),Average Fuel Efficiency (hrg),CO2 Emissions (g/hr),CO2 Emissions Level
Genesis Engineering Systems,G0AD,Heavy-Duty Utility Machinery,3.3,6,AS8,Z,13.7,9.7,11.9,24,279,high
Jeep Engineering Co.,GAD4,Standard Utility Vehicle,3.6,6,A8,X,12.7,9.6,11.3,25,265,high
Porsche Engineering Works,PNME,Heavy-Duty Utility Machinery,4.0,8,AM8,Z,12.8,9.2,11.2,25,261,high
Ford Industrial Corp.,ECPD,Small Utility Vehicle,1.6,4,AS6,X,10.5,7.9,9.4,30,220,medium
Honda Heavy Industries,OYSG,Compact Transport Equipment,3.5,6,AS10,X,12.2,8.5,10.6,27,247,medium
General Manufacturing Corporation,CNOD,Light-Duty Transport Machinery,2.8,4,A6,D,12.1,8.3,10.4,27,279,high
Mercedes Industrial Solutions,A200,Subcompact Utility Machinery,2.0,4,AM7,Z,9.7,6.8,8.4,34,195,low
General Manufacturing Corporation,SERA,Standard Transport Machinery,6.2,8,A8,Z,16.1,11.4,14.0,20,327,high
General Manufacturing Corporation,SVNR,Passenger Transport Equipment,6.0,8,A6,X,21.9,15.0,18.8,15,432,high
Bauer Machinery Works,38_E,Compact Utility Equipment,2.0,4,AS8,Z,10.5,6.9,8.9,32,209,medium
Toyota Heavy Machinery,TCMD,Light-Duty Transport Machinery,3.5,6,AS6,X,13.1,10.5,11.9,24,280,high
Lexus Engineering,R_0D,Subcompact Utility Machinery,3.5,6,AS6,Z,13.1,9.8,11.2,25,262,high
Jaguar Industrial Machines,X_WD,Mid-Sized Utility Machines,3.0,6,AS8,Z,13.9,8.8,11.6,24,267,high
Ram Industrial Equipment,10_C,Standard Transport Machinery,3.6,6,A8,X,13.9,9.6,11.9,24,280,high
Porsche Engineering Works,91CT,Mini Utility Equipment,3.0,6,AM7,Z,10.8,8.3,9.7,29,227,medium
Bauer Machinery Works,APNE,Compact Utility Equipment,4.4,8,AS8,Z,15.2,9.8,12.8,22,294,high
Ford Industrial Corp.,EPO),Standard Utility Vehicle,3.5,6,AS6,X,14.9,10.7,13.0,22,299,high
Porsche Engineering Works,91CS,Mini Utility Equipment,3.8,6,M7,Z,12.8,8.9,11.0,26,253,high
Bauer Machinery Works,M4IT,Subcompact Utility Machinery,3.0,6,AS8,Z,11.4,8.1,9.9,29,231,medium
Jeep Engineering Co.,CMAS,Small Utility Vehicle,2.4,4,A6,X,11.2,8.6,10.0,28,235,medium
Cadillac Engineering Solutions,X5AD,Small Utility Vehicle,3.6,6,AS8,X,12.8,9.3,11.2,25,263,high
Dodge Equipment Ltd.,VPRT,Small-Scale Operator Machinery,8.4,10,M6,Z,19.2,11.3,15.6,18,364,high
Volkswaren Machine Systems,GL_N,Small-Scale Transport Machinery,1.4,4,AS8,X,8.6,6.5,7.6,37,178,low
Bauer Machinery Works,M_OE,Compact Utility Equipment,3.0,6,M6,Z,13.7,9.1,11.7,24,273,high
Chevrolet Engineering Works,CUEE,Mid-Sized Utility Machines,1.8,4,M6,X,9.4,6.6,8.1,35,186,low
Aston Martin Technologies,V_AE,Small-Scale Operator Machinery,4.7,8,M6,Z,18.1,12.3,15.5,18,356,high
Mazda Manufacturing Corp.,M-55,Small-Scale Operator Machinery,2.0,4,AS6,Z,9.1,6.8,8.0,35,188,low
Hyundai Manufacturing Solutions,EATA,Mid-Sized Utility Machines,2.0,4,AV,X,7.8,5.6,6.8,42,161,low
Honda Heavy Industries,PLTD,Small Utility Vehicle,3.5,6,A6,X,13.0,9.3,11.3,25,265,high
Bauer Machinery Works,38_E,Compact Utility Equipment,2.0,4,AS8,D,7.8,5.9,7.0,40,184,low
Infiniti Machine Works,Q000,Mid-Sized Utility Machines,3.7,6,AS7,Z,12.0,8.0,10.2,28,235,medium
Jaguar Industrial Machines,FTPD,Small-Scale Operator Machinery,5.0,8,AS6,Z,15.6,10.4,13.3,21,311,high
Lexus Engineering,L_6D,Mid-Sized Utility Machines,4.6,8,AS8,Z,15.2,10.2,12.9,22,297,high
Volkswaren Machine Systems,GL_I,Compact Utility Equipment,2.0,4,AM6,Z,9.5,7.2,8.5,33,196,low
General Manufacturing Corporation,SERV,Standard Transport Machinery,5.3,8,A6,X,15.7,11.9,14.0,20,329,high
Bauer Machinery Works,APNE,Heavy-Duty Utility Machinery,4.4,8,AS8,Z,14.7,9.7,12.5,23,292,high
Audi Industrial Equipment,SS44,Compact Utility Equipment,3.0,6,AS8,Z,11.3,8.0,9.8,29,230,medium
Volvo Industrial Solutions,V0PD,Small-Scale Transport Machinery,3.0,6,AS6,X,12.8,8.9,11.0,26,253,high
Lamborghini Industrial Works,HRCD,Small-Scale Operator Machinery,5.2,10,AM7,Z,18.0,12.9,15.7,18,370,high
Mercedes Industrial Solutions,AGG3,Standard Utility Vehicle,5.5,8,AS7,Z,20.0,16.6,18.5,15,413,high
Bauer Machinery Works,40_E,Compact Utility Equipment,3.0,6,AS8,Z,11.1,7.5,9.5,30,223,medium
Toyota Heavy Machinery,CRLX,Small-Scale Transport Machinery,1.8,4,M5,X,8.9,7.3,8.2,34,189,low
Chevrolet Engineering Works,SNC5,Small-Scale Transport Machinery,1.8,4,M5,X,9.0,6.8,8.0,35,187,low
Chevrolet Engineering Works,THEE,Standard Utility Vehicle,5.3,8,A6,X,15.7,10.5,13.4,21,314,high
Chevrolet Engineering Works,SLED,Standard Transport Machinery,4.3,6,A6,E,20.3,15.2,18.0,16,288,high
Ford Industrial Corp.,EPOV,Standard Utility Vehicle,3.5,6,AS6,X,13.9,9.8,12.1,23,283,high
Lexus Engineering,R_5D,Small Utility Vehicle,3.5,6,AS8,X,13.1,9.4,11.1,25,268,high
Ford Industrial Corp.,FSO),Mid-Sized Utility Machines,1.5,4,AS6,X,9.4,6.3,8.0,35,184,low
Chevrolet Engineering Works,CMRO,Subcompact Utility Machinery,3.6,6,AS10,X,12.5,8.1,10.5,27,247,medium
Infiniti Machine Works,Q0AT,Mid-Sized Utility Machines,3.0,6,AS7,Z,12.5,9.3,11.1,25,260,high
Bauer Machinery Works,60_E,Compact Utility Equipment,3.0,6,AS8,Z,12.3,8.4,10.5,27,248,medium
Mini Industrial Tools,JH_E,Mini Utility Equipment,1.6,4,M6,Z,9.1,6.7,8.0,35,184,low
Volkswaren Machine Systems,CCCC,Compact Utility Equipment,2.0,4,M6,Z,11.6,7.7,9.8,29,225,medium
Porsche Engineering Works,91GS,Small-Scale Operator Machinery,3.8,6,AM7,Z,15.3,11.2,13.5,21,315,high
Genesis Engineering Systems,G0AD,Heavy-Duty Utility Machinery,5.0,8,AS8,Z,15.6,10.4,13.2,21,312,high
Honda Heavy Industries,CVCT,Heavy-Duty Utility Machinery,1.5,4,M6,Z,8.0,6.2,7.2,39,167,low
Mercedes Industrial Solutions,CA2C,Subcompact Utility Machinery,2.0,4,AS7,Z,9.9,7.4,8.8,32,202,medium
Volkswaren Machine Systems,JTAA,Compact Utility Equipment,1.8,4,AS6,X,9.2,6.4,8.0,35,186,low
Ford Industrial Corp.,ECPD,Small Utility Vehicle,2.5,4,AV,X,5.4,6.3,5.8,49,136,very low
Audi Industrial Equipment,TSCO,Subcompact Utility Machinery,2.0,4,AM6,Z,10.3,8.6,9.5,30,222,medium
Nissan Machinery Ltd.,VRAA,Mid-Sized Utility Machines,1.6,4,M5,X,8.6,6.6,7.7,37,180,low
Bauer Machinery Works,M_AT,Subcompact Utility Machinery,4.4,8,M6,Z,16.2,10.9,13.8,20,324,high
Korea Industrial Apparatus,SRND,Small Utility Vehicle,2.4,4,A6,X,12.3,9.3,11.0,26,253,high
Chevrolet Engineering Works,SLED,Standard Transport Machinery,6.2,8,A8,Z,16.0,11.7,14.1,20,330,high
Chevrolet Engineering Works,CLRD,Light-Duty Transport Machinery,3.6,6,A8,X,14.0,9.9,12.2,23,286,high
Mini Industrial Tools,JH_E,Mini Utility Equipment,2.0,4,AS6,Z,9.4,7.2,8.4,34,196,low
Dodge Equipment Ltd.,CALR,Mid-Sized Utility Machines,3.6,6,A5,X,13.2,8.7,11.2,25,258,high
Chevrolet Engineering Works,SBRD,Standard Utility Vehicle,6.2,8,A10,Z,17.2,11.4,14.6,19,343,high
Mercedes Industrial Solutions,S600,Heavy-Duty Utility Machinery,6.0,12,AS7,Z,17.3,11.0,14.5,19,340,high
Audi Industrial Equipment,QQ55,Small Utility Vehicle,3.0,6,AS8,Z,13.2,9.2,11.4,25,267,high
Toyota Heavy Machinery,CRLA,Mid-Sized Utility Machines,1.8,4,AV,X,8.3,6.5,7.5,38,174,low
Toyota Heavy Machinery,TNRA,Standard Transport Machinery,5.7,8,AS6,X,17.3,13.0,15.4,18,360,high
Chrysler Engineering,20FV,Mid-Sized Utility Machines,3.6,6,A9,X,12.4,7.5,10.2,28,235,medium
Hyundai Manufacturing Solutions,SNAD,Small Utility Vehicle,2.4,4,AS6,X,12.5,9.3,11.1,25,255,high
Volkswaren Machine Systems,BEL),Compact Utility Equipment,2.0,4,M6,D,7.6,5.7,6.9,41,184,low
Ford Industrial Corp.,EPOV,Standard Utility Vehicle,3.5,6,AS6,X,13.7,9.7,11.9,24,274,high
Cadillac Engineering Solutions,CSVT,Mid-Sized Utility Machines,3.6,6,AS8,Z,15.0,9.9,12.7,22,311,high
Ford Industrial Corp.,GGTT,Small-Scale Operator Machinery,3.5,6,AM7,Z,20.4,13.1,17.1,17,403,high
Ford Industrial Corp.,EGEE,Small Utility Vehicle,3.5,6,AS6,X,13.4,9.0,11.4,25,268,high
Chrysler Engineering,20SN,Mid-Sized Utility Machines,2.4,4,A4,X,11.2,8.0,9.8,29,225,medium
Hyundai Manufacturing Solutions,VLSR,Compact Utility Equipment,1.6,4,AM6,X,8.3,6.7,7.6,37,180,low
Chevrolet Engineering Works,SAKK,Subcompact Utility Machinery,1.2,4,AV,X,7.7,6.1,7.0,40,161,low
Bauer Machinery Works,60_E,Compact Utility Equipment,4.4,8,AS8,Z,14.0,9.6,12.0,24,282,high
Volvo Industrial Solutions,V0TD,Mid-Sized Transport Machinery,2.0,4,AS8,Z,10.8,7.6,9.4,30,219,medium
Subaru Heavy Machinery,OTAD,Small Utility Vehicle,2.4,4,AV8,X,10.1,7.9,9.1,31,213,medium
Mercedes Industrial Solutions,GC3C,Small Utility Vehicle,2.0,4,A9,Z,11.1,8.6,10.0,28,240,medium
Honda Heavy Industries,CVCN,Mid-Sized Utility Machines,1.5,4,AV7,X,7.8,6.2,7.1,40,165,low
Porsche Engineering Works,PNMA,Heavy-Duty Utility Machinery,3.6,6,AM7,Z,12.9,8.4,10.9,26,255,high
Chevrolet Engineering Works,SLES,Standard Transport Machinery,5.3,8,A6,X,16.7,13.1,15.1,19,354,high
Toyota Heavy Machinery,4UN),Standard Utility Vehicle,4.0,6,AS5,X,14.3,12.0,13.3,21,310,high
Jeep Engineering Co.,GAD4,Standard Utility Vehicle,3.6,6,A8,X,12.8,9.5,11.3,25,265,high
Bauer Machinery Works,28_T,Subcompact Utility Machinery,2.0,4,AS8,Z,10.6,7.2,9.1,31,209,medium
Volvo Industrial Solutions,S0T6,Compact Utility Equipment,2.0,4,AS8,Z,10.6,7.7,9.3,30,218,medium
Porsche Engineering Works,91TS,Mini Utility Equipment,3.0,6,M7,Z,12.2,8.5,10.5,27,246,medium
Honda Heavy Industries,ACRD,Heavy-Duty Utility Machinery,2.0,4,M6,X,10.7,7.3,9.2,31,214,medium
Cadillac Engineering Solutions,ECLD,Standard Utility Vehicle,6.2,8,A10,Z,16.7,11.1,14.2,20,333,high
Korea Industrial Apparatus,RNOO,Mid-Sized Transport Machinery,2.0,4,M6,X,10.8,7.4,9.3,30,214,medium
Jaguar Industrial Machines,FTPE,Small-Scale Operator Machinery,3.0,6,AS8,Z,11.8,8.4,10.3,27,237,medium
Mazda Manufacturing Corp.,MZA5,Compact Transport Equipment,2.5,4,M6,X,11.1,8.3,9.8,29,225,medium
Ford Industrial Corp.,F104,Standard Transport Machinery,5.0,8,AS6,E,22.4,16.9,19.9,14,318,high
Audi Industrial Equipment,A_UO,Mid-Sized Utility Machines,3.0,6,AS8,Z,11.5,8.2,10.0,28,235,medium
Chevrolet Engineering Works,SAKK,Subcompact Utility Machinery,1.4,4,M5,X,8.0,6.2,7.2,39,170,low
Chevrolet Engineering Works,SNCC,Compact Utility Equipment,1.8,4,M5,X,9.2,7.1,8.3,34,194,low
Alfa Machinery Systems,GUIA,Mid-Sized Utility Machines,2.0,4,A8,Z,10.0,7.2,8.7,32,205,medium
Jaguar Industrial Machines,XRCE,Mini Utility Equipment,5.0,8,AS6,Z,15.6,10.9,13.4,21,308,high
Chevrolet Engineering Works,SAKK,Subcompact Utility Machinery,1.4,4,AV,X,7.8,6.2,7.1,40,167,low
Mercedes Industrial Solutions,AGEN,Mid-Sized Transport Machinery,4.0,8,A9,Z,15.2,11.0,13.3,21,312,high
Toyota Heavy Machinery,4UN),Standard Utility Vehicle,4.0,6,AS5,X,14.2,11.1,12.8,22,298,high
Jeep Engineering Co.,PTI4,Small Utility Vehicle,2.4,4,A6,X,11.7,9.1,10.5,27,248,medium
Mercedes Industrial Solutions,S50C,Heavy-Duty Utility Machinery,4.0,8,A9,Z,13.5,8.6,11.3,25,265,high
Porsche Engineering Works,91TT,Mini Utility Equipment,3.8,6,AM7,Z,14.3,10.9,12.7,22,297,high
Audi Industrial Equipment,SS33,Subcompact Utility Machinery,2.0,4,AM7,Z,10.7,8.0,9.5,30,222,medium
Bauer Machinery Works,M_EN,Mid-Sized Utility Machines,4.4,8,AM7,Z,17.3,11.5,14.7,19,338,high
Mitsubishi Industrial Equipment,LNEK,Small-Scale Transport Machinery,2.0,4,AV6,X,9.3,7.2,8.4,34,194,low
Bauer Machinery Works,60_T,Subcompact Utility Machinery,4.4,8,A8,Z,15.0,9.8,12.7,22,292,high
Chevrolet Engineering Works,TAEE,Standard Utility Vehicle,3.6,6,AS9,X,12.9,8.7,11.0,26,258,high
Jaguar Industrial Machines,FTPE,Small-Scale Operator Machinery,3.0,6,M6,Z,15.3,10.0,12.9,22,302,high
Cadillac Engineering Solutions,X444,Small Utility Vehicle,2.0,4,AS9,Z,9.8,7.8,8.9,32,209,medium
Bauer Machinery Works,60_E,Compact Utility Equipment,3.0,6,AS8,Z,12.4,8.4,10.6,27,249,medium
Bauer Machinery Works,50_E,Mid-Sized Utility Machines,3.0,6,AS8,Z,11.4,7.8,9.8,29,228,medium
Dodge Equipment Ltd.,CALT,Mid-Sized Utility Machines,6.2,8,M6,Z,18.1,11.4,15.1,19,352,high
Mazda Manufacturing Corp.,C-33,Compact Utility Equipment,2.0,4,AS6,X,8.2,6.7,7.6,37,179,low
Jeep Engineering Co.,WAGE,Small Utility Vehicle,3.6,6,A8,X,12.6,10.7,11.8,24,276,high
Fiat Industrial Equipment,50XX,Small Utility Vehicle,1.4,4,M6,X,9.5,7.1,8.4,34,197,low
Audi Industrial Equipment,SS55,Subcompact Utility Machinery,3.0,6,AM8,Z,11.5,8.0,9.9,29,232,medium
Rolls-Royce Engineering,PATM,Heavy-Duty Utility Machinery,6.7,12,AS8,Z,20.0,11.8,16.3,17,382,high
Infiniti Machine Works,Q000,Mid-Sized Utility Machines,5.6,8,AS7,Z,14.8,9.5,12.4,23,285,high
Korea Industrial Apparatus,SDNL,Compact Transport Equipment,3.3,6,AS6,X,14.2,10.5,12.5,23,288,high
General Manufacturing Corporation,SERV,Standard Transport Machinery,4.3,6,A6,E,20.3,15.3,18.1,16,301,high
Toyota Heavy Machinery,TCMD,Light-Duty Transport Machinery,3.5,6,M6,X,13.8,11.7,12.9,22,300,high
Toyota Heavy Machinery,RV_D,Small Utility Vehicle,2.5,4,AS6,X,10.6,8.1,9.4,30,220,medium
Chevrolet Engineering Works,SLED,Standard Transport Machinery,5.3,8,A6,X,15.6,10.9,13.5,21,317,high
Mazda Manufacturing Corp.,MZAR,Compact Utility Equipment,2.5,4,AS6,X,8.4,6.1,7.4,38,173,low
Honda Heavy Industries,OYSY,Compact Transport Equipment,3.5,6,AS10,X,12.2,8.5,10.6,27,248,medium
Volkswaren Machine Systems,GL_N,Small-Scale Transport Machinery,1.8,4,AM6,X,10.8,8.1,9.6,29,224,medium
Subaru Heavy Machinery,IPED,Compact Utility Equipment,2.0,4,AV6,X,8.5,6.4,7.6,37,177,low
Chevrolet Engineering Works,CUEE,Compact Utility Equipment,1.4,4,AS6,X,8.3,6.2,7.3,39,172,low
Mitsubishi Industrial Equipment,MRGE,Compact Utility Equipment,1.2,3,AV,X,6.4,5.5,6.0,47,141,very low
Hyundai Manufacturing Solutions,TCON,Small Utility Vehicle,2.0,4,M6,X,11.4,8.5,10.1,28,232,medium
Honda Heavy Industries,ACRD,Heavy-Duty Utility Machinery,1.5,4,AV,X,7.9,6.3,7.2,39,170,low
Volkswaren Machine Systems,BELE,Compact Utility Equipment,1.8,4,A6,X,9.5,7.2,8.5,33,196,low
Chevrolet Engineering Works,CMR1,Compact Utility Equipment,6.2,8,AS6,Z,19.7,12.9,16.6,17,382,high
Jeep Engineering Co.,GADV,Standard Utility Vehicle,3.6,6,A8,E,17.7,13.0,15.6,18,250,medium
Chrysler Engineering,30AD,Heavy-Duty Utility Machinery,3.6,6,A8,X,12.8,8.7,11.0,26,258,high
Volvo Industrial Solutions,X9_5,Standard Utility Vehicle,2.0,4,AS8,Z,10.6,9.1,10.0,28,232,medium
Bauer Machinery Works,20_T,Subcompact Utility Machinery,2.0,4,AS8,Z,10.0,7.2,8.7,32,207,medium
Honda Heavy Industries,CVCE,Compact Utility Equipment,2.0,4,AV,X,7.8,5.8,6.9,41,162,low
Ram Industrial Equipment,10_V,Standard Transport Machinery,3.6,6,A8,X,13.9,9.5,11.9,24,274,high
Toyota Heavy Machinery,TCMD,Light-Duty Transport Machinery,2.7,4,M5,X,12.9,11.5,12.3,23,283,high
Ford Industrial Corp.,F104,Standard Transport Machinery,3.5,6,AS10,X,14.3,10.5,12.6,22,295,high
Porsche Engineering Works,BXTS,Small-Scale Operator Machinery,2.5,4,M6,Z,12.1,9.0,10.7,26,249,medium
Mazda Manufacturing Corp.,C-_D,Small Utility Vehicle,2.5,4,AS6,X,11.5,8.9,10.4,27,242,medium
Ford Industrial Corp.,FCST,Mid-Sized Utility Machines,2.0,4,M6,X,10.5,7.8,9.3,30,219,medium
Ford Industrial Corp.,EG_D,Small Utility Vehicle,2.0,4,AS6,X,11.9,8.6,10.4,27,244,medium
Nissan Machinery Ltd.,QSQI,Small-Scale Transport Machinery,2.0,4,M6,X,10.1,8.2,9.2,31,217,medium
Nissan Machinery Ltd.,SNRO,Mid-Sized Utility Machines,1.6,4,AV7,Z,9.4,7.8,8.7,32,205,medium
Nissan Machinery Ltd.,MCAA,Compact Utility Equipment,1.6,4,A4,X,9.0,6.8,8.0,35,188,low
Volkswaren Machine Systems,JTAA,Compact Utility Equipment,1.4,4,M6,X,7.9,5.9,7.0,40,163,low
Nissan Machinery Ltd.,FOTD,Standard Transport Machinery,3.8,6,AS9,X,13.8,10.2,12.2,23,287,high
Chevrolet Engineering Works,SLED,Standard Transport Machinery,2.7,4,A8,X,12.5,10.8,11.7,24,275,high
Nissan Machinery Ltd.,ATMA,Mid-Sized Utility Machines,2.5,4,AV,X,8.7,6.3,7.6,37,179,low
Korea Industrial Apparatus,SRND,Small Utility Vehicle,3.3,6,AS6,X,14.0,10.1,12.2,23,289,high
Mercedes Industrial Solutions,C30C,Compact Utility Equipment,2.0,4,A9,Z,11.0,7.3,9.4,30,219,medium
Honda Heavy Industries,ISGG,Mid-Sized Utility Machines,1.5,4,AV,X,4.6,5.3,4.9,58,114,very low
Porsche Engineering Works,CYNS,Standard Utility Vehicle,4.8,8,A8,Z,16.7,11.5,14.4,20,338,high
Toyota Heavy Machinery,TCMD,Light-Duty Transport Machinery,3.5,6,M6,X,13.8,11.7,12.9,22,300,high
Ram Industrial Equipment,POAY,Specialized Industrial Machinery,2.4,4,A9,X,11.2,8.3,9.9,29,232,medium
Porsche Engineering Works,91TT,Mini Utility Equipment,3.8,6,AM7,Z,13.7,9.6,11.9,24,278,high
Mercedes Industrial Solutions,E40D,Mid-Sized Utility Machines,3.5,6,AS7,Z,9.6,7.9,8.8,32,202,medium
Porsche Engineering Works,91T4,Mini Utility Equipment,3.0,6,AM7,Z,10.9,8.4,9.8,29,228,medium
General Manufacturing Corporation,SVNR,Passenger Transport Equipment,5.3,8,A4,E,23.9,18.5,21.5,13,344,high
Porsche Engineering Works,PNMT,Heavy-Duty Utility Machinery,4.0,8,AM8,Z,13.4,10.1,11.9,24,279,high
General Manufacturing Corporation,YKND,Standard Utility Vehicle,5.3,8,A6,E,21.5,14.6,18.4,15,294,high
Toyota Heavy Machinery,CRLA,Mid-Sized Utility Machines,1.8,4,M6,X,8.5,6.6,7.6,37,178,low
Bauer Machinery Works,M_ON,Subcompact Utility Machinery,3.0,6,M6,Z,13.4,9.6,11.7,24,273,high
Honda Heavy Industries,C-VV,Small Utility Vehicle,1.5,4,AV,X,8.3,7.0,7.7,37,180,low
Ford Industrial Corp.,F100,Standard Transport Machinery,5.0,8,AS10,X,14.1,10.4,12.4,23,292,high
Chevrolet Engineering Works,CUER,Compact Utility Equipment,1.4,4,AS6,X,8.1,6.0,7.2,39,169,low
Dodge Equipment Ltd.,DRN),Standard Utility Vehicle,5.7,8,A8,X,16.7,10.7,14.0,20,329,high
Infiniti Machine Works,Q0AD,Mid-Sized Utility Machines,3.0,6,AS7,Z,12.6,8.8,10.9,26,256,high
Jaguar Industrial Machines,FTPE,Small-Scale Operator Machinery,3.0,6,M6,Z,14.9,9.8,12.6,22,296,high
Nissan Machinery Ltd.,FOTR,Light-Duty Transport Machinery,2.5,4,A5,X,13.7,10.6,12.3,23,283,high
Ford Industrial Corp.,F10V,Standard Transport Machinery,3.5,6,A6,E,17.9,13.0,15.7,18,261,high
Volvo Industrial Solutions,V0T5,Mid-Sized Transport Machinery,2.0,4,AS8,Z,10.1,7.0,8.7,32,204,medium
Maserat Engineering Ltd.,GIL4,Mid-Sized Utility Machines,3.0,6,AS8,Z,14.7,9.9,12.6,22,295,high
Bauer Machinery Works,X_DD,Standard Utility Vehicle,3.0,6,AS8,D,10.3,8.0,9.3,30,246,medium
Honda Heavy Industries,CVCK,Heavy-Duty Utility Machinery,1.5,4,M6,X,8.0,6.2,7.2,39,167,low
Dodge Equipment Ltd.,DR_V,Mid-Sized Utility Machines,2.0,4,A6,X,9.9,7.0,8.6,33,201,medium
Bauer Machinery Works,M_RE,Compact Utility Equipment,4.4,8,AM7,Z,17.3,11.5,14.7,19,338,high
Porsche Engineering Works,91CS,Mini Utility Equipment,3.0,6,AM7,Z,11.8,9.2,10.6,27,248,medium
Ford Industrial Corp.,T10V,Passenger Transport Equipment,3.7,6,AS6,E,22.1,16.7,19.7,14,315,high
Korea Industrial Apparatus,SOTD,Small Utility Vehicle,2.4,4,AS6,X,12.0,9.3,10.8,26,251,high
Ford Industrial Corp.,F104,Standard Transport Machinery,5.0,8,A6,E,22.4,17.0,20.0,14,320,high
Audi Industrial Equipment,A_AO,Subcompact Utility Machinery,2.0,4,AS8,Z,11.3,8.2,9.9,29,231,medium
Mercedes Industrial Solutions,E30C,Mid-Sized Utility Machines,3.5,6,AS7,Z,11.6,8.1,10.0,28,230,medium
Porsche Engineering Works,91CT,Mini Utility Equipment,3.0,6,M7,Z,12.2,8.5,10.5,27,246,medium
Audi Industrial Equipment,ALLL,Heavy-Duty Utility Machinery,6.3,12,AS8,Z,17.8,10.8,14.6,19,344,high
Lincoln Manufacturing,MZAD,Mid-Sized Utility Machines,3.7,6,AS6,X,13.8,9.7,11.9,24,279,high
Volkswaren Machine Systems,GLFF,Compact Utility Equipment,1.8,4,M5,X,9.3,6.4,8.0,35,187,low
Subaru Heavy Machinery,WXXX,Compact Utility Equipment,2.5,4,M6,Z,13.8,10.2,12.2,23,281,high
General Manufacturing Corporation,SERA,Standard Transport Machinery,5.3,8,A6,X,14.6,10.3,12.7,22,297,high
Chevrolet Engineering Works,EPEO,Cargo Transport Equipment,4.3,6,A4,X,17.1,12.7,15.1,19,347,high
General Manufacturing Corporation,YKND,Standard Utility Vehicle,6.2,8,A6,Z,18.8,13.4,16.4,17,377,high
Audi Industrial Equipment,SS33,Subcompact Utility Machinery,2.0,4,AM7,Z,10.7,8.0,9.5,30,222,medium
Subaru Heavy Machinery,FRSD,Small Utility Vehicle,2.5,4,M6,X,10.6,8.4,9.6,29,221,medium
Mitsubishi Industrial Equipment,MRGE,Compact Utility Equipment,1.2,3,M5,X,7.0,5.6,6.3,45,147,very low
